EmployeeID,Department,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,TrainingOpportunitiesWithinYear,TrainingOpportunitiesTaken,WorkLifeBalance,BusinessTravel,OverTime,YearsAtCompany,YearsInMostRecentRole,YearsSinceLastPromotion,YearsWithCurrManager,promotion_ratio,stagnancy_score,manager_stability,ManagerRating,dataset
9F65-F612,Technology,-1.9907472379605426,0.4940517313936122,-1.2340081182056488,-0.015809413030875224,-1.0705558482797486,-2.110952762922182,0.612825061818254,-0.7072648822016449,-1.7156084454157845,-1.0139141582169446,-1.3381376496651274,-1.0065968036177013,-1.1667093297718336,-1.7270561856452622,-1.1827037699818002,0,train
3992-22AD,Sales,0.13548427035391725,0.656611515543897,-0.9100656205768054,1.2033325642581245,0.837008463008704,0.34792806534296045,0.612825061818254,-0.7072648822016449,-1.4160478421236289,-1.0139141582169446,-1.3381376496651274,-0.6489598838766031,-1.1667093297718336,-1.7270561856452622,1.6116316184423645,0,train
95E0-CCA0,Technology,-1.950577933735618,-2.1090318282292237,-0.3367883081243583,1.2033325642581245,1.0341647923382244,0.445646559338505,0.612825061818254,-0.7072648822016449,-1.0938497396496767,-0.6719430690982892,-1.0117027534059224,-0.9930836690648852,0.1564248815157711,-0.367352781709368,-1.1563079260363367,0,train
74B4-CB7A,Human Resources,-0.9276314838033127,0.8262102027004579,0.4950980775006375,-0.015809413030875224,-0.01819552797076207,-0.02785363987550238,-0.3333031289442705,1.4138974310262655,-1.4160478421236289,-1.0139141582169446,-1.023587861935078,-1.0065968036177013,-1.1667093297718336,0.9923367684517954,-1.1827037699818002,0,train
278C-D482,Technology,-2.2424085051723486,-1.2413373083549453,-1.2340081182056488,1.2033325642581245,-0.8214406124865132,0.3047645477326153,0.612825061818254,-0.7072648822016449,1.2090854589473918,0.4918149901394795,0.9381712398763979,0.6969278132637781,0.03463901072155187,0.29813162182039926,0.17772744627649417,0,train
1B4A-5D80,Technology,-0.9276314838033127,0.97474864324099,0.9740546627356172,-0.015809413030875224,-0.01819552797076207,0.02739798408929406,0.612825061818254,-0.7072648822016449,-1.582002395961932,-1.0139141582169446,-1.3381376496651274,-1.0065968036177013,-1.1667093297718336,-1.7270561856452622,-1.1827037699818002,0,train
3D9E-FB05,Sales,1.0816384519439788,-0.3736427884806665,-0.36945502035250566,1.2033325642581245,-0.01819552797076207,0.5117105864194696,0.612825061818254,-0.7072648822016449,1.2799975875057723,0.4467848702494057,1.52741649073253,1.6971129587071252,-0.03637483703143121,0.7503379109320015,0.9298129886180444,0,train
0A05-3943,Technology,-0.9276314838033127,-1.2413373083549453,1.3596511753537808,1.2033325642581245,-0.01819552797076207,0.5117105864194696,-0.6229559239763556,-0.7072648822016449,1.2799975875057723,-1.0139141582169446,-0.7090380742050286,-1.0065968036177013,-1.1667093297718336,-1.1831726999234282,-1.1827037699818002,1,train
4657-FE18,Technology,-3.0538629921177725,-1.2413373083549453,-1.2340081182056488,1.2033325642581245,-1.0705558482797486,-1.2367316464749647,-0.6229559239763556,-0.7072648822016449,0.38131577762930524,0.05228491505538793,-0.3944882864749792,1.139224714828888,0.011944616694012042,-0.5615920728683095,1.2124613784491731,1,train
327B-F6D3,Technology,0.13548427035391725,-0.3736427884806665,-1.2340081182056488,-0.015809413030875224,-0.01819552797076207,-2.110952762922182,-1.858736909770965,-0.7072648822016449,0.6808763809214609,0.7630842972369429,0.23461128898511968,1.8544985543110846,0.5521613157649395,-0.027420717672972758,1.611656068846451,1,train
